time,pm_assignments,pm_ask_reports,pm_reassign,pm_work_on,pm_cooperations,pm_evaluate_performance,pm_motivate,pm_priority,pm_optimize,pm_take_chance,problems_count,escalate_problem_count,cooperation_prob,trust_in_agents,completed_tasks,fail_tasks
0,30,0,0,,0,False,0,,0,,0,0,0.5,"[('Worker 0', 13), ('Worker 1', 10), ('Worker 2', 31), ('Worker 3', 45), ('Worker 4', 37), ('Worker 5', 10), ('Worker 6', 47), ('Worker 7', 31), ('Worker 8', 27), ('Worker 9', 47)]",0,0
10,3,0,0,,0,False,0,,0,,0,0,0.5,"[('Worker 0', 13), ('Worker 1', 10), ('Worker 2', 31), ('Worker 3', 45), ('Worker 4', 37), ('Worker 5', 10), ('Worker 6', 47), ('Worker 7', 31), ('Worker 8', 27), ('Worker 9', 47)]",0,0
20,0,0,0,,0,False,3,time,0,,2,0,0.5,"[('Worker 0', 13), ('Worker 1', 10), ('Worker 2', 31), ('Worker 3', 45), ('Worker 4', 37), ('Worker 5', 10), ('Worker 6', 47), ('Worker 7', 31), ('Worker 8', 27), ('Worker 9', 47)]",5,0
30,0,0,0,,0,False,3,time,0,,3,0,0.5,"[('Worker 0', 13), ('Worker 1', 10), ('Worker 2', 31), ('Worker 3', 45), ('Worker 4', 37), ('Worker 5', 10), ('Worker 6', 47), ('Worker 7', 31), ('Worker 8', 27), ('Worker 9', 47)]",10,0
40,0,0,0,,0,False,3,time,0,,3,0,0.5,"[('Worker 0', 13), ('Worker 1', 10), ('Worker 2', 31), ('Worker 3', 45), ('Worker 4', 37), ('Worker 5', 10), ('Worker 6', 47), ('Worker 7', 31), ('Worker 8', 27), ('Worker 9', 47)]",15,0
50,0,0,0,,0,False,3,time,0,,4,0,0.5,"[('Worker 0', 13), ('Worker 1', 10), ('Worker 2', 31), ('Worker 3', 45), ('Worker 4', 37), ('Worker 5', 10), ('Worker 6', 47), ('Worker 7', 31), ('Worker 8', 27), ('Worker 9', 47)]",16,0
60,6,0,0,,0,False,3,time,0,,5,1,0.5,"[('Worker 0', 13), ('Worker 1', 10), ('Worker 2', 31), ('Worker 3', 45), ('Worker 4', 37), ('Worker 5', 10), ('Worker 6', 47), ('Worker 7', 31), ('Worker 8', 27), ('Worker 9', 47)]",17,0
70,11,0,1,,0,False,3,time,0,,5,1,0.5,"[('Worker 0', 13), ('Worker 1', 10), ('Worker 2', 31), ('Worker 3', 45), ('Worker 4', 37), ('Worker 5', 10), ('Worker 6', 47), ('Worker 7', 31), ('Worker 8', 27), ('Worker 9', 47)]",22,0
80,0,0,0,,0,False,3,time,0,,5,1,0.5,"[('Worker 0', 13), ('Worker 1', 10), ('Worker 2', 31), ('Worker 3', 45), ('Worker 4', 37), ('Worker 5', 10), ('Worker 6', 47), ('Worker 7', 31), ('Worker 8', 27), ('Worker 9', 47)]",24,0
90,0,0,0,,0,False,3,time,0,,7,1,0.5,"[('Worker 0', 13), ('Worker 1', 10), ('Worker 2', 31), ('Worker 3', 45), ('Worker 4', 37), ('Worker 5', 10), ('Worker 6', 47), ('Worker 7', 31), ('Worker 8', 27), ('Worker 9', 47)]",27,0
